position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,saves,selected,threat,total_points,transfers_in,transfers_out,value,was_home,yellow_cards
DEF,Liverpool,2.0,0,0,6,0,0.0,660,224,0,0,0.0,0.0,0,7,0,0,0,0,0,372,0.0,1,28,20,40,False,0
MID,Newcastle,2.0,0,0,7,0,0.8,309,226,0,0,1.5,7.0,48,10,0,0,0,0,0,43180,7.0,2,17527,17981,45,False,0
MID,Leicester,2.0,0,0,10,0,0.9,458,227,1,0,0.3,1.8,12,4,0,0,0,0,0,8243,0.0,2,62,475,48,True,0
DEF,Arsenal,1.0,0,0,6,0,0.0,9,221,0,0,0.0,0.0,0,5,0,0,0,0,0,18462,0.0,1,0,83,48,True,0
FWD,Watford,1.6,0,0,1,0,13.2,450,230,3,0,2.1,0.0,77,15,0,0,0,1,0,3772542,10.0,0,295942,56429,61,True,0
FWD,Watford,1.6,0,0,6,0,0.0,450,164,0,0,0.0,0.0,0,5,0,0,0,0,0,3772542,0.0,1,295942,56429,61,False,0
MID,Arsenal,1.0,0,0,6,0,0.0,18,221,0,0,0.0,0.0,0,5,0,0,0,0,0,11330,0.0,1,0,105,45,True,0
MID,Leicester,1.0,0,0,6,0,0.0,203,227,0,0,0.0,0.0,0,4,0,0,0,0,0,83991,0.0,1,1417,4506,43,True,0
MID,Newcastle,3.0,0,0,12,1,5.7,298,226,0,0,3.3,0.0,90,10,0,0,0,0,0,6347,29.0,4,522,506,53,False,0
MID,West Ham,1.0,0,0,6,0,0.0,589,228,0,0,0.0,0.0,0,13,0,0,0,0,0,10696,0.0,1,121,371,44,False,0
MID,Man Utd,1.0,0,0,6,0,0.0,272,228,0,0,0.0,0.0,0,19,0,0,0,0,0,577759,0.0,1,235,4065,74,True,0
DEF,Aston Villa,1.0,0,0,6,0,0.0,670,225,0,0,0.0,0.0,0,8,0,0,0,0,0,382,0.0,1,77,36,40,False,0
MID,Aston Villa,1.0,0,0,6,0,0.0,32,225,0,0,0.0,0.0,0,8,0,0,0,0,0,25659,0.0,1,20,209,57,False,0
MID,Brighton,2.7,0,0,14,0,36.9,64,227,1,0,10.3,14.2,90,9,0,0,0,0,0,186181,52.0,3,4443,45280,61,False,0
MID,Brentford,3.5,0,0,16,0,13.3,77,222,2,0,3.2,12.2,90,20,0,0,0,0,0,54378,6.0,2,725,2014,50,True,1
DEF,Leicester,1.0,0,0,6,0,0.0,220,227,0,0,0.0,0.0,0,4,0,0,0,0,0,22466,0.0,1,38,117,43,True,0
MID,Man City,1.0,0,0,6,0,0.0,566,229,0,0,0.0,0.0,0,16,0,0,0,0,0,269,0.0,1,0,2,45,False,0
MID,Man Utd,1.7,0,0,6,0,0.0,271,228,0,0,0.0,0.0,0,19,0,0,0,0,0,26174,0.0,1,842,896,44,True,0
DEF,West Ham,2.7,0,0,6,0,0.0,417,228,0,0,0.0,0.0,0,13,0,0,0,0,0,30541,0.0,1,439,4897,44,False,0
MID,Everton,1.0,0,0,6,0,0.0,167,225,0,0,0.0,0.0,0,2,0,0,0,0,0,209,0.0,1,0,1,55,True,0
